restaurant_id,lane,already_reached,name,phone,area,address,cuisine,chain_size,rating,review_count,status,website
5555517565,desk,False,Sixpence Trattoria,(555) 551-7565,Sunfield,1177 N Bayard St,Seafood,large,4.9,2359,open deal,https://www.sixpencetrattoria.example
5556112831,desk,False,Harrow Smokehouse Verano Bay,(555) 611-2831,Quarry End,1115 North Tarrow Avenue,Thai,SME,4.5,2307,never in CRM,https://www.harrowsmokehouse.example
5559319919,desk,False,Cardinal Trattoria,(555) 931-9919,Miradero,"2469 S Rivermead St, Verano Bay",Greek,SME,4.6,2294,open deal,https://www.cardinaltrattoria.example
5557988603,desk,False,Marrow Room - Alder Heights,(555) 798-8603,Templeton,3777 North Tarrow St,Contemporary,SME,3.97,2265,never in CRM,https://www.marrowroom.example
5552019667,desk,True,Nine Bridges Osteria,(555) 201-9667,Bayview Flats,1421 North Quinton Rd,Indian,SME,4.37,2257,open deal,https://www.ninebridgesosteria.example
5551169646,desk,False,Little Bear Cantina - Cedar Cross,(555) 116-9646,Lantern Hill,4759 West Quinton Street,Thai,SME,4.87,2256,never in CRM,https://www.littlebearcantina.example
5552616316,desk,False,Prairie Supper Club,(555) 261-6316,Old Mill,4755 E Tarrow Rd,Greek,SME,4.9,2248,never in CRM,https://www.prairiesupperclub.example
5553089172,desk,True,Thicket Cantina - Corvo Heights,(555) 308-9172,Ashgrove,1046 E Wexley St,Japanese,SME,4.05,2239,never in CRM,https://www.thicketcantina.example
5552854236,desk,False,Plumb Brasserie,(555) 285-4236,Templeton,6567 E Rivermead Rd,Ethiopian,SME,3.45,2231,never in CRM,https://www.plumbbrasserie.example
5554456886,call,False,Rosewater Kitchen,(555) 445-6886,Old Mill,7432 North Ashfield Rd,Mediterranean,SME,4.42,2216,never in CRM,
5554813966,desk,False,Inkwell Bistro,(555) 481-3966,Bayview Flats,2317 S Tarrow Ave,Greek,SME,4.4,2215,never in CRM,https://www.inkwellbistro.example
5555334184,desk,False,Little Bear Grill,(555) 533-4184,Greenhithe,7609 N Vance Rd,Thai,SME,3.75,2209,never in CRM,https://www.littlebeargrill.example
5557987288,desk,True,Fernwood Smokehouse,(555) 798-7288,Rivera District,1390 N Wexley Blvd,Japanese,SME,4.8,2192,never in CRM,https://www.fernwoodsmokehouse.example
5557529445,desk,False,Cardinal Steakhouse - Palisade Park,(555) 752-9445,Rivera District,7389 West Rivermead Ave,Indian,SME,3.55,2182,never in CRM,https://www.cardinalsteakhouse.example
5557751777,call,False,Zephyr Room,(555) 775-1777,Miradero,3652 E Cortez Ave,French,SME,3.3,2170,never in CRM,
5552757214,desk,False,Violet Supper Club,(555) 275-7214,Rivera District,4046 W Calder Rd,Seafood,SME,4.8,2162,open deal,https://www.violetsupperclub.example
5552316037,desk,True,Tallgrass Tavern,(555) 231-6037,Rivera District,6904 N Serra Ave,Thai,SME,4.7,2152,never in CRM,https://www.tallgrasstavern.example
5557652605,visit,False,BASIL & BONE WINE BAR,(555) 765-2605,Ashgrove,"7312 E Tarrow Blvd, Verano Bay",Spanish,SME,4.6,2144,never in CRM,
5553983938,call,False,Bramble Supper Club - Quarry End,(555) 398-3938,Windrow,1985 S Quinton Blvd,Thai,SME,3.6,2140,never in CRM,
5556720014,call,False,Nightjar Table Restaurant,(555) 672-0014,Lantern Hill,"5948 W Lindmere Ave, Verano Bay",French,SME,3.6,2139,never in CRM,
5559390609,desk,True,Sixpence Supper Club - Stillwater,(555) 939-0609,Harbor Point,1620 W Tarrow Avenue,Greek,SME,4.42,2134,never in CRM,https://www.sixpencesupperclub.example
5553967759,desk,True,Tidewater Osteria,(555) 396-7759,Cedar Cross,1183 N Serra Ave,Contemporary,SME,4.17,2131,never in CRM,https://www.tidewaterosteria.example
5554359184,desk,True,Redbird Steakhouse,(555) 435-9184,Palisade Park,2884 W Cortez Street,Ethiopian,SME,3.5,2129,open deal,https://www.redbirdsteakhouse.example
5556198427,desk,False,Wren Osteria Verano Bay,(555) 619-8427,Stillwater,3451 North Fennimore Street,Thai,SME,3.9,2118,open deal,https://www.wrenosteria.example
5556908109,call,False,Thistle Grill,(555) 690-8109,Stillwater,4746 W Mallow Rd,Polish,SME,4.17,2117,never in CRM,
5559054701,desk,False,Redbird House,(555) 905-4701,Old Mill,3159 E Serra Blvd,Thai,SME,4.78,2116,open deal,https://www.redbirdhouse.example
5555879634,call,False,Wren Supper Club,(555) 587-9634,Harbor Point,2741 E Ashfield Rd,Thai,SME,3.8,2108,never in CRM,
5556491573,desk,False,Rookery Room,(555) 649-1573,Corvo Heights,5852 E Calder St,Vietnamese,SME,3.75,2103,never in CRM,https://www.rookeryroom.example
5552444066,desk,False,Tallgrass Chophouse,(555) 244-4066,Templeton,3523 S Wexley St,Indian,SME,3.25,2100,never in CRM,https://www.tallgrasschophouse.example
5558281820,desk,True,Umber Dining Room - Sablewood,(555) 828-1820,Lantern Hill,1844 E Lindmere Boulevard,Italian,SME,4.12,2096,never in CRM,https://www.umberdiningroom.example
5551345056,desk,False,Driftwood Grill,(555) 134-5056,Ashgrove,3427 S Calder Ave,Greek,SME,3.7,2084,never in CRM,https://www.driftwoodgrill.example
5556322272,call,False,Larkspur Wine Bar,(555) 632-2272,Fox Hollow,521 N Ashfield Ave,Contemporary,SME,4.65,2080,never in CRM,
5554297633,desk,False,Magpie Supper Club,(555) 429-7633,Harbor Point,4462 E Ashfield Ave,Spanish,SME,4.1,2072,open deal,https://www.magpiesupperclub.example
5557122835,desk,True,Motherland Alehouse,(555) 712-2835,Calder Park,819 W Halloway Blvd,Seafood,SME,3.8,2064,never in CRM,https://www.motherlandalehouse.example
5551616799,desk,False,Cobalt Dining Room,(555) 161-6799,Cedar Cross,307 S Cortez Ave,Mexican,SME,4.1,2063,never in CRM,https://www.cobaltdiningroom.example
5558318095,call,False,The Vesper Oyster Bar,(555) 831-8095,Harbor Point,6032 W Quinton Road,Seafood,SME,4.33,2057,never in CRM,
5557543479,call,False,Motherland Taqueria,(555) 754-3479,Calder Park,4793 W Prospect St,Barbecue,SME,4.3,2051,customer,
5551280232,visit,False,Halcyon Osteria,(555) 128-0232,Greenhithe,1978 E Serra Ave,Steakhouse,SME,3.3,2049,written off,
5558690897,desk,False,Larkspur Dining Room Verano Bay,(555) 869-0897,Greenhithe,3899 W Prospect St,Italian,SME,3.9,2047,never in CRM,https://www.larkspurdiningroom.example
5552366045,desk,False,Tin Roof Bistro,(555) 236-6045,Old Mill,6518 S Vance Rd,Greek,SME,4.9,2037,never in CRM,https://www.tinroofbistro.example
