source_row_id,source_platform,scraped_date,name,address,city,postcode,neighbourhood,phone,website,cuisine,price_band,rating,review_count,fullservice_keyword_filter,fullservice_llm_filter,fullservice_llm_confidence,pos_system,pos_signal,pos_eligibility,chain_size_bucket,restaurant_group
R002103,bookwell,2026-07-27,Sixpence House,1658 W Prospect Ave,Verano Bay,40740,Greenhithe,(555) 437-4643,https://www.sixpencehouse.example,Spanish,$$,4.4,1340,pass,pass,0.88,n/a,none,unknown,SME,
R002581,tablefind,2026-07-20,Juniper Food Truck,1643 W Vance Rd,Verano Bay,40756,Alder Heights,+1 555 642 2905,https://www.juniperfoodtruck.example,Japanese,$$$$,3.6,532,pass,fail,0.76,not found,none,unknown,SME,
R001050,dineline,2026-07-12,Golden Hour Bistro,3160 S Ashfield Ave,Verano Bay,40783,Stillwater,(555) 704-6305,,Indian,$$,3.5,1681,pass,pass,0.82,n/a,none,unknown,SME,
R002315,tablefind,2026-07-23,Hearth Bakery,2271 E Tarrow Road,Verano Bay,40276,Rivera District,+15555499791,,Indian,$$$,4.1,1947,fail,fail,0.9,not found,none,unknown,SME,
R003191,tablefind,2026-07-26,Wildwood Brasserie,7293 W Prospect St,Verano Bay,40139,Templeton,+15559849881,https://www.wildwoodbrasserie.example,Greek,$$,4.4,118,pass,pass,0.89,Northstar,website_fingerprint,pass,mid-cap,Wildwood Group
R002927,roamly,2026-07-12,Quill Donuts 1,1026 S Cortez Blvd,Verano Bay,40343,Stillwater,(555) 219-0959,,Korean,$,4.5,935,fail,fail,0.74,not found,none,unknown,SME,
R001104,dineline,2026-07-15,Verde Brasserie,6612 E Halloway Ave,Verano Bay,40299,Windrow,+1 555 773 5834,https://www.verdebrasserie.example,Thai,$$$,3.7,363,pass,pass,0.87,n/a,none,unknown,SME,
R000962,bookwell,2026-07-02,Sparrow Wine Bar,7862 W Ashfield Blvd,Verano Bay,40528,Cedar Cross,555.449.7952,https://www.sparrowwinebar.example,Greek,$$,4.3,1401,pass,pass,0.86,,none,unknown,SME,
R002254,tablefind,2026-07-06,Fallowfield Express,1141 W Serra Ave,Verano Bay,40503,Stillwater,555-104-8219,https://www.fallowfieldexpress.example,French,$$,4.6,1415,fail,fail,0.97,CADENCE,website_fingerprint,fail,SME,
R001057,bookwell,2026-07-11,The Fernwood Tavern,2018 South Lindmere Ave,Verano Bay,40752,Marisol,555-815-6084,https://www.fernwoodtavern.example,Korean,$$,4.5,561,pass,pass,0.82,UNKNOWN,none,unknown,SME,
R001315,civicpages,2026-07-02,VERDE TRATTORIA,6833 East Wexley Boulevard,Verano Bay,40639,Templeton,555-860-6282,https://www.verdetrattoria.example,Indian,$,3.5,1717,pass,pass,0.73,n/a,none,unknown,SME,
R002121,civicpages,2026-07-18,Quill Bistro Restaurant,1817 W Bayard Boulevard,Verano Bay,40559,Calder Park,+15557297537,https://www.quillbistro.example,Japanese,$$$,4.5,221,pass,pass,0.99,n/a,none,unknown,SME,
R002075,bookwell,2026-07-12,Oxbow Kitchen Verano Bay,4038 S Fennimore Avenue,Verano Bay,40648,Fox Hollow,555.902.9746,,Italian,$$$$,3.9,1295,pass,pass,0.9,not found,none,unknown,SME,
R002680,civicpages,2026-07-15,Oxbow Boba - Stillwater,4810 North Fennimore Road,Verano Bay,40551,Bramble Row,5551616858,,Mediterranean,$$,3.8,1840,pass,fail,0.75,Unknown,none,unknown,SME,
R001423,bookwell,2026-07-02,Olive & Ash Osteria,7580 S Quinton Rd,Verano Bay,40332,Quarry End,555-255-1171,https://www.oliveashosteria.example,French,$$,4.5,905,pass,pass,0.82,UNKNOWN,none,unknown,SME,
R000411,tablefind,2026-07-27,Marigold Osteria,7441 N Lindmere Rd,Verano Bay,40680,Harbor Point,(555) 429-2603,,French,$$,4.3,348,pass,pass,0.94,N/A,none,unknown,SME,
R002519,roamly,2026-07-10,PLUMB KIOSK 1,4449 North Ashfield Street,Verano Bay,40594,Ferrymead,+15553102732,,Mediterranean,$$$,3.4,666,pass,fail,0.78,,none,unknown,SME,
R003153,atlasmaps,2026-07-14,Fallowfield Taqueria - Fox Hollow,3062 W Halloway Ave,Verano Bay,40704,Sablewood,555.902.6105,https://www.fallowfieldtaqueria.example,Mexican,$$$,3.9,835,pass,pass,0.94,not found,none,unknown,mid-cap,Fallowfield Group
R000072,tablefind,2026-07-15,Ember Dining Room,6846 S Tarrow Rd,Verano Bay,40366,Bayview Flats,555-383-0788,https://www.emberdiningroom.example,Mediterranean,$,3.7,1531,pass,pass,0.87,N/A,none,unknown,SME,
R000092,bookwell,2026-07-24,Hearth Brasserie,1812 N Mallow St,Verano Bay,40267,Greenhithe,555.151.6999,https://www.hearthbrasserie.example,Greek,$$$,4.1,449,pass,pass,0.74,unknown,none,unknown,SME,
R003219,roamly,2026-07-20,Yarrow Bistro - Stillwater,"326 S Mallow Rd, Verano Bay",Verano Bay,40561,Greenhithe,555.549.4041,https://www.yarrowbistro.example,Spanish,$,3.6,708,pass,pass,0.84,Unknown,none,unknown,mid-cap,Yarrow Group
R002321,roamly,2026-07-14,The Roan Smoothie,6874 S Ashfield Blvd,Verano Bay,40729,Kingsway,555.280.4322,https://www.roansmoothie.example,Korean,$$,3.4,1706,pass,fail,0.85,not found,none,unknown,SME,
R000359,bookwell,2026-07-02,Rookery Trattoria,3122 E Fennimore Rd,Verano Bay,40453,Quarry End,(555) 367-4877,https://www.rookerytrattoria.example,Steakhouse,$$,4.6,284,pass,pass,0.94,UNKNOWN,none,unknown,SME,
R001312,tablefind,2026-07-27,Ember Wine Bar,"5087 S Cortez Rd, Verano Bay",Verano Bay,40131,Palisade Park,+1 555 376 1703,https://www.emberwinebar.example,Barbecue,$,4.1,1547,pass,pass,0.79,VELLUM,website_fingerprint,pass,SME,
R000459,roamly,2026-07-18,Driftwood Bistro,2927 N Fennimore Rd,Verano Bay,40236,Lantern Hill,555-209-3962,https://www.driftwoodbistro.example,Korean,$$$,4.0,1340,pass,pass,0.73,unknown,none,unknown,SME,
R001117,atlasmaps,2026-07-26,The Heron House,"1781 N Fennimore Rd, Verano Bay",Verano Bay,40217,Cedar Cross,555.644.4032,https://www.heronhouse.example,Greek,$$$,3.8,1179,pass,pass,0.87,not found,none,unknown,SME,
R000848,roamly,2026-07-02,Redbird Dining Room,2378 S Mallow St,Verano Bay,40346,Stillwater,(555) 582-8509,https://www.redbirddiningroom.example,Vietnamese,$$$,4.1,164,pass,pass,0.73,Unknown,none,unknown,SME,
R002347,tablefind,2026-07-03,Vesper Smoothie,3413 W Mallow Ave,Verano Bay,40216,Windrow,5556659005,https://www.vespersmoothie.example,Mediterranean,$$,4.2,607,pass,fail,0.81,n/a,none,unknown,SME,
R001548,civicpages,2026-07-19,Cinder Smokehouse - Greenhithe,"5385 S Mallow Blvd, Verano Bay",Verano Bay,40449,Sablewood,+1 555 707 9022,https://www.cindersmokehouse.example,Seafood,$$,4.4,2073,pass,pass,0.8,unknown,none,unknown,SME,
R003364,atlasmaps,2026-07-18,Harrow Wine Bar,2040 E Fennimore St,Verano Bay,40769,Templeton,,https://www.harrowwinebar.example,French,$$,3.6,1145,pass,pass,0.95,N/A,none,unknown,large,Harrow Inc
