restaurant_id,rank,score,name,phone,area,address,cuisine,price_band,chain_size,rating,review_count,pos,pos_source,pos_seen,status,days_idle,owners,contact,contact_role,website,reason
5555136215,1,90,The Wren Cantina,(555) 513-6215,Sunfield,4889 North Wexley Avenue,Vietnamese,$,SME,4.63,2126,Northstar,human call,2026-07-25,never in CRM,,,Paul Singh,Owner,,"2,126 reviews · Northstar per human call on 2026-07-25 · never contacted · Paul Singh (Owner) on file · rated 4.63"
5556271295,2,90,Verde Osteria,(555) 627-1295,Sunfield,"3201 W Mallow Rd, Verano Bay",Indian,$$$,SME,4.8,1896,Northstar,human call,2026-06-23,never in CRM,,,Priya Murphy,Co-Owner,https://www.verdeosteria.example,"1,896 reviews · Northstar per human call on 2026-06-23 · never contacted · Priya Murphy (Co-Owner) on file · rated 4.8"
5551479463,3,85,Wildwood Osteria,(555) 147-9463,Calder Park,4476 E Vance Blvd,Steakhouse,$$,SME,4.7,2361,Bluecrest,ai call,2026-06-28,never in CRM,,,Emily Vasquez,Operations Manager,https://www.wildwoodosteria.example,"2,361 reviews · Bluecrest per ai call on 2026-06-28 · never contacted · Emily Vasquez (Operations Manager) on file · rated 4.7"
5553367676,4,85,TIDEWATER STEAKHOUSE,(555) 336-7676,Miradero,3869 W Bayard Ave,Ethiopian,$,SME,3.87,1909,Cadence,human call,2026-07-01,never in CRM,,,Priya Andino,Operations Manager,,"1,909 reviews · Cadence per human call on 2026-07-01 · never contacted · Priya Andino (Operations Manager) on file"
5553072154,5,84,Yarrow Tavern,(555) 307-2154,Sunfield,1929 N Wexley Rd,French,$$$,SME,4.7,1497,Vellum,human call,2026-07-29,never in CRM,,,Sean Williams,Operations Manager,https://www.yarrowtavern.example,"1,497 reviews · Vellum per human call on 2026-07-29 · never contacted · Sean Williams (Operations Manager) on file · rated 4.7"
5558136197,6,84,Thicket Taqueria,(555) 813-6197,Lantern Hill,1875 S Quinton St,Mediterranean,$$$,SME,4.5,1395,Vellum,human call,2026-07-31,never in CRM,,,Raj Torres,Owner,https://www.thickettaqueria.example,"1,395 reviews · Vellum per human call on 2026-07-31 · never contacted · Raj Torres (Owner) on file · rated 4.5"
5557544296,7,84,Understory Grill,(555) 754-4296,Fox Hollow,7569 E Prospect Rd,Mediterranean,$$$,SME,4.6,1355,Vellum,human call,2026-07-08,never in CRM,,,Susan Lopez,Owner,https://www.understorygrill.example,"1,355 reviews · Vellum per human call on 2026-07-08 · never contacted · Susan Lopez (Owner) on file · rated 4.6"
5558373594,8,84,Pike Tavern,(555) 837-3594,Kingsway,1792 N Wexley St,Spanish,$$,SME,4.65,1324,Vellum,human call,2026-06-25,never in CRM,,,George Brown,Operations Manager,https://www.piketavern.example,"1,324 reviews · Vellum per human call on 2026-06-25 · never contacted · George Brown (Operations Manager) on file · rated 4.65"
5555629604,9,84,Zephyr Cantina,(555) 562-9604,Miradero,3607 W Quinton St,Contemporary,$$,SME,4.55,1068,Northstar,human call,2026-06-17,never in CRM,,,Luis Okafor,Co-Owner,,"1,068 reviews · Northstar per human call on 2026-06-17 · never contacted · Luis Okafor (Co-Owner) on file · rated 4.55"
5559752218,10,83,Loam Oyster Bar,(555) 975-2218,Sablewood,6722 E Bayard Ave,Barbecue,$$,large,4.0,2163,Meridian Cloud,ai call,2026-07-02,never in CRM,,,,,https://www.loamoysterbar.example,"2,163 reviews · large operator · Meridian Cloud per ai call on 2026-07-02 · never contacted"
5555781650,11,82,Cobalt Bistro,(555) 578-1650,Corvo Heights,1328 North Halloway Boulevard,Spanish,$$$,SME,4.05,1335,Northstar,human call,2026-06-09,never in CRM,,,Marcus Reyes,Co-Owner,https://www.cobaltbistro.example,"1,335 reviews · Northstar per human call on 2026-06-09 · never contacted · Marcus Reyes (Co-Owner) on file"
5554876390,12,82,The Bramble Chophouse,(555) 487-6390,Rivera District,"1836 N Rivermead St, Verano Bay",Peruvian,$$,SME,4.35,1277,Tessera,human call,2026-07-07,never in CRM,,,Paul Kim,Operations Manager,https://www.bramblechophouse.example,"1,277 reviews · Tessera per human call on 2026-07-07 · never contacted · Paul Kim (Operations Manager) on file"
5556952761,13,82,Juniper Steakhouse Verano Bay,(555) 695-2761,Windrow,1413 East Bayard Blvd,Korean,$$$,SME,4.05,1088,Vellum,human call,2026-07-11,never in CRM,,,Linda Doyle,Co-Owner,https://www.junipersteakhouse.example,"1,088 reviews · Vellum per human call on 2026-07-11 · never contacted · Linda Doyle (Co-Owner) on file"
5558142169,14,82,Heron Wine Bar,(555) 814-2169,Corvo Heights,482 N Lindmere Blvd,Steakhouse,$$$,SME,4.3,1029,Orbit,human call,2026-07-11,never in CRM,,,Paul Le,Operations Manager,https://www.heronwinebar.example,"1,029 reviews · Orbit per human call on 2026-07-11 · never contacted · Paul Le (Operations Manager) on file"
5554352649,15,80,Golden Hour Osteria,(555) 435-2649,Quarry End,6658 S Rivermead Blvd,Steakhouse,$$$,SME,4.7,1827,Northstar,human call,2026-07-01,never in CRM,,,,,https://www.goldenhourosteria.example,"1,827 reviews · Northstar per human call on 2026-07-01 · never contacted · rated 4.7"
5554669682,16,80,Juniper Smokehouse,(555) 466-9682,Miradero,5283 W Rivermead Blvd,French,$,SME,4.83,1504,Meridian Cloud,human call,2026-07-17,never in CRM,,,,,https://www.junipersmokehouse.example,"1,504 reviews · Meridian Cloud per human call on 2026-07-17 · never contacted · rated 4.83"
5557084176,17,79,Ironwood Supper Club,(555) 708-4176,Sablewood,1424 W Rivermead Ave,Peruvian,$,SME,4.6,1411,Northstar,ai call,2026-06-09,never in CRM,,,Peter Haddad,Owner,https://www.ironwoodsupperclub.example,"1,411 reviews · Northstar per ai call on 2026-06-09 · never contacted · Peter Haddad (Owner) on file · rated 4.6"
5553325989,18,79,Kingfisher Dining Room,(555) 332-5989,Ashgrove,1545 E Bayard St,Thai,$$$,SME,5.0,1401,Meridian Cloud,ai call,2026-07-18,never in CRM,,,Tony Garcia,Operations Manager,https://www.kingfisherdiningroom.example,"1,401 reviews · Meridian Cloud per ai call on 2026-07-18 · never contacted · Tony Garcia (Operations Manager) on file · rated 5.0"
5552303763,19,79,Ironwood House,(555) 230-3763,Miradero,447 S Cortez St,Peruvian,$$$,SME,3.8,1293,Northstar,human call,2026-08-01,never in CRM,,,Christina Torres,Managing Partner,,"1,293 reviews · Northstar per human call on 2026-08-01 · never contacted · Christina Torres (Managing Partner) on file"
5559299863,20,79,Warbler Cantina,(555) 929-9863,Windrow,4161 W Lindmere Rd,Steakhouse,$$$,SME,4.6,1285,Northstar,ai call,2026-06-11,never in CRM,,,Hassan Hernandez,Owner,https://www.warblercantina.example,"1,285 reviews · Northstar per ai call on 2026-06-11 · never contacted · Hassan Hernandez (Owner) on file · rated 4.6"
5559854744,21,79,Bellwether Cantina,(555) 985-4744,Stillwater,1576 N Halloway Rd,French,$$,SME,3.5,1248,Vellum,human call,2026-07-09,never in CRM,,,Michael Patel,Managing Partner,,"1,248 reviews · Vellum per human call on 2026-07-09 · never contacted · Michael Patel (Managing Partner) on file"
5557387765,22,79,Salt & Vine Grill Verano Bay,(555) 738-7765,Cedar Cross,"7173 W Prospect Rd, Verano Bay",Barbecue,$$,mid-cap,4.65,1206,Cadence,human call,2026-07-05,open deal,165.0,1.0,Paul Okafor,Managing Partner,https://www.saltvinegrill.example,"1,206 reviews · mid-cap operator · Cadence per human call on 2026-07-05 · deal idle 165 days · Paul Okafor (Managing Partner) on file · rated 4.65"
5554706197,23,79,Plumb Bistro,(555) 470-6197,Fox Hollow,2496 W Mallow Ave,Korean,$$$$,mid-cap,4.8,1144,Cadence,human call,2026-06-12,open deal,72.0,1.0,Frank Silva,Operations Manager,https://www.plumbbistro.example,"1,144 reviews · mid-cap operator · Cadence per human call on 2026-06-12 · deal idle 72 days · Frank Silva (Operations Manager) on file · rated 4.8"
5554043277,24,79,FERNWOOD ROOM,(555) 404-3277,Ferrymead,4018 W Bayard Street,Steakhouse,$$,SME,3.3,1050,Cadence,human call,2026-06-18,never in CRM,,,Nadia Martinez,Owner,,"1,050 reviews · Cadence per human call on 2026-06-18 · never contacted · Nadia Martinez (Owner) on file"
5554941684,25,78,Mercado Bistro,(555) 494-1684,Fox Hollow,593 N Wexley Blvd,Peruvian,$$$,SME,4.0,2274,Cadence,human call,2026-06-16,never in CRM,,,,,,"2,274 reviews · Cadence per human call on 2026-06-16 · never contacted"
5556146703,26,78,The Wildwood Oyster Bar,(555) 614-6703,Kingsway,3440 South Quinton Boulevard,Japanese,$,SME,4.35,1912,Cadence,human call,2026-06-15,never in CRM,,,,,,"1,912 reviews · Cadence per human call on 2026-06-15 · never contacted"
5555206758,27,78,Little Bear Smokehouse,(555) 520-6758,Miradero,3799 S Lindmere Ave,Polish,$$$$,SME,4.2,1614,Vellum,human call,2026-06-14,open deal,97.0,1.0,Daniel Reyes,Co-Owner,,"1,614 reviews · Vellum per human call on 2026-06-14 · deal idle 97 days · Daniel Reyes (Co-Owner) on file"
5558319889,28,78,Wildwood Dining Room,(555) 831-9889,Windrow,5942 N Cortez Rd,Contemporary,$$$,SME,4.63,898,Cadence,human call,2026-07-15,never in CRM,,,Linda Nguyen,Owner,https://www.wildwooddiningroom.example,898 reviews · Cadence per human call on 2026-07-15 · never contacted · Linda Nguyen (Owner) on file · rated 4.63
5551389885,29,78,Jackdaw Osteria - Lantern Hill,(555) 138-9885,Corvo Heights,"3723 E Calder Rd, Verano Bay",Italian,$$,SME,4.75,760,Vellum,human call,2026-06-09,never in CRM,,,Deborah Singh,Managing Partner,https://www.jackdawosteria.example,760 reviews · Vellum per human call on 2026-06-09 · never contacted · Deborah Singh (Managing Partner) on file · rated 4.75
5558863833,30,77,Alder Wine Bar,(555) 886-3833,Alder Heights,3708 North Prospect Street,Italian,$$,mid-cap,4.03,1018,Meridian Cloud,human call,2026-08-02,open deal,123.0,1.0,Victor Kim,Managing Partner,https://www.alderwinebar.example,"1,018 reviews · mid-cap operator · Meridian Cloud per human call on 2026-08-02 · deal idle 123 days · Victor Kim (Managing Partner) on file"
5554230259,31,77,Salt & Vine Bistro,(555) 423-0259,Lantern Hill,7818 E Ashfield Blvd,Italian,$$,SME,4.3,1003,Cadence,ai call,2026-06-29,never in CRM,,,Carlos Johnson,GM,https://www.saltvinebistro.example,"1,003 reviews · Cadence per ai call on 2026-06-29 · never contacted · Carlos Johnson (GM) on file"
5559698742,32,76,Cobalt Oyster Bar,(555) 969-8742,Stillwater,5121 N Fennimore Rd,French,$$,SME,4.2,684,Northstar,human call,2026-06-09,never in CRM,,,Grace Rossi,General Manager,https://www.cobaltoysterbar.example,684 reviews · Northstar per human call on 2026-06-09 · never contacted · Grace Rossi (General Manager) on file
5555207081,33,75,Sparrow Brasserie,(555) 520-7081,Calder Park,6977 S Vance Ave,Spanish,$$$,large,4.55,1887,Meridian Cloud,ai call,2026-06-19,open deal,107.0,1.0,,,https://www.sparrowbrasserie.example,"1,887 reviews · large operator · Meridian Cloud per ai call on 2026-06-19 · deal idle 107 days · rated 4.55"
5559973091,34,75,Understory Steakhouse,(555) 997-3091,Bramble Row,"6408 N Calder St, Verano Bay",Mediterranean,$$$,SME,3.98,1878,Cadence,human call,2026-06-19,never in CRM,,,,,https://www.understorysteakhouse.example,"1,878 reviews · Cadence per human call on 2026-06-19 · never contacted"
5558130946,35,75,Tallgrass House,(555) 813-0946,Stillwater,2692 E Wexley St,Mediterranean,$$,SME,3.5,1877,Cadence,human call,2026-07-26,never in CRM,,,,,https://www.tallgrasshouse.example,"1,877 reviews · Cadence per human call on 2026-07-26 · never contacted"
5558979124,36,75,Cobalt Tavern,(555) 897-9124,Bayview Flats,6809 E Ashfield Rd,Peruvian,$$,SME,3.9,1861,Vellum,human call,2026-06-21,open deal,167.0,1.0,Sofia Singh,Owner,https://www.cobalttavern.example,"1,861 reviews · Vellum per human call on 2026-06-21 · deal idle 167 days · Sofia Singh (Owner) on file"
5553497342,37,75,Nine Bridges House,(555) 349-7342,Old Mill,1492 East Calder Blvd,Steakhouse,$$$,SME,3.95,1784,Northstar,human call,2026-06-20,never in CRM,,,,,https://www.ninebridgeshouse.example,"1,784 reviews · Northstar per human call on 2026-06-20 · never contacted"
5558414766,38,75,Orchard Kitchen,(555) 841-4766,Bramble Row,1743 E Cortez Blvd,Mexican,$$,SME,4.6,1755,Vellum,ai call,2026-07-12,open deal,64.0,1.0,Victor Hernandez,Owner,https://www.orchardkitchen.example,"1,755 reviews · Vellum per ai call on 2026-07-12 · deal idle 64 days · Victor Hernandez (Owner) on file · rated 4.6"
5559255333,39,75,Understory House,(555) 925-5333,Lantern Hill,958 N Cortez Ave,Greek,$$$$,mid-cap,3.9,1618,Meridian Cloud,ai call,2026-06-25,open deal,38.0,1.0,Sofia Schmidt,Owner,https://www.understoryhouse.example,"1,618 reviews · mid-cap operator · Meridian Cloud per ai call on 2026-06-25 · deal idle 38 days · Sofia Schmidt (Owner) on file"
5555696778,40,75,Golden Hour Table,(555) 569-6778,Corvo Heights,650 W Mallow Blvd,Barbecue,$$$$,SME,4.7,1601,Meridian Cloud,ai call,2026-07-07,never in CRM,,,,,https://www.goldenhourtable.example,"1,601 reviews · Meridian Cloud per ai call on 2026-07-07 · never contacted · rated 4.7"
5554947594,41,75,Fernwood Bistro,(555) 494-7594,Greenhithe,1930 South Quinton Street,Spanish,$$,SME,3.55,1513,Vellum,human call,2026-06-18,open deal,70.0,1.0,Marcus Patel,Managing Partner,https://www.fernwoodbistro.example,"1,513 reviews · Vellum per human call on 2026-06-18 · deal idle 70 days · Marcus Patel (Managing Partner) on file"
5553207541,42,75,Redbird Bistro,(555) 320-7541,Sunfield,1957 W Bayard Avenue,Thai,$$$,SME,4.77,1512,Cadence,ai call,2026-06-15,never in CRM,,,,,https://www.redbirdbistro.example,"1,512 reviews · Cadence per ai call on 2026-06-15 · never contacted · rated 4.77"
