call_id,call_date,caller_type,agent_name,restaurant_name,phone,outcome,pos_captured,poc_name,poc_role,availability_window,poc_email
C001433,2026-06-11,ai,dialler-02,Nine Bridges Wine Bar,(555) 104-4446,POS Validated,vellum,,,,
C001157,2026-06-24,ai,dialler-01,Ironwood Taqueria,5558404844,Not reached,,,,,
C001810,2026-07-25,ai,dialler-02,FALLOWFIELD KITCHEN,+1 555 874 1796,POS Validated,IRONCLAD,,,,
C000966,2026-06-21,human,Fatima,ROAN TAQUERIA,(555) 512-6514,Data capture incomplete,,,,,
C001097,2026-07-13,human,Sana,Thistle Brasserie,+15553485831,No Answer,,,,,
C000553,2026-06-25,ai,dialler-03,Kettle Table,5553993643,Callback,,,,,
C001437,2026-06-13,human,Zara,Kinship Creamery 1,555-154-3872,Not reached,,,,,
C001548,2026-07-06,ai,dialler-01,Mercado Room,(555) 242-1511,Gatekeeper,,,,,
C001443,2026-06-16,human,Layla,Mercado Bistro,555.494.1684,POS Validated,Cadence,,,,
C001210,2026-06-14,human,Fatima,Tidewater Alehouse,+1 555 115 9442,No Answer,,,,,
C000422,2026-07-23,human,Fatima,Tidewater Steakhouse,+1 555 336 7676,Callback,,,,,
C001033,2026-06-19,ai,dialler-03,Marrow Smoothie 1,+15554018694,Not reached,,,,,
C001344,2026-06-19,ai,dialler-01,Kettle Taqueria,(555) 110-5140,No Answer,,,,,
C000546,2026-06-30,ai,dialler-02,OXBOW BRASSERIE,555.272.5234,POS Validated,Ironclad POS,,,,
C000977,2026-07-20,human,Sana,Plumb Tavern,+1 555 350 5028,Gatekeeper,,,,,
C000187,2026-07-17,human,Sana,Nine Bridges Bakery,+1 555 142 4665,Not reached,,,,,
C001715,2026-07-27,human,Zara,Kinship Bistro,555-989-0084,No Answer,,,,,
C000285,2026-08-01,human,Hiba,Ember Smoothie,+15558692116,Callback,,,,,
C001808,2026-07-15,ai,dialler-02,The Plumb Express,555-435-8141,Callback,,,,,
C000650,2026-07-29,ai,dialler-03,Amber Table Verano Bay,+15557899280,POS Validated,cadence,,,,
C000022,2026-07-09,ai,dialler-01,Wildwood Dining Room,555-831-9889,Callback,,,,,
C000335,2026-07-01,human,Fatima,Nine Bridges Chophouse,(555) 688-3396,Callback,,,,,
C000259,2026-06-10,ai,dialler-02,Sable Bakery Verano Bay,(555) 682-1882,Callback,,,,,
C000376,2026-07-13,human,Zara,The Heron Dining Room,555-409-8444,No Answer,,,,,
C001161,2026-07-21,human,Hiba,Fallowfield Table Verano Bay,+1 555 296 2646,No Answer,,,,,
C000161,2026-07-26,ai,dialler-03,The Tin Roof Alehouse,5554229272,No Answer,,,,,
C000329,2026-07-09,human,Sana,The Bellwether Cantina,555.985.4744,POS Validated,Vellum,Michael Patel,Managing Partner,After 9pm,
C000129,2026-07-27,ai,dialler-02,Saffron Osteria,+1 555 676 5973,Data capture incomplete,,,,,
C000379,2026-06-09,ai,dialler-03,Umber Supper Club,+1 555 572 0830,No Answer,,,,,
C001785,2026-06-12,ai,dialler-01,The Heron House,555-644-4032,Callback,,,,,
C000176,2026-07-05,ai,dialler-02,Northbank Boba,5557530509,Data capture incomplete,,,,,
C000624,2026-07-22,human,Layla,Juniper Kitchen - Sunfield,555.318.7327,Not reached,,,,,
C001551,2026-07-02,ai,dialler-03,Mercado Room,5552421511,Callback,,,,,
C001214,2026-07-25,human,Sana,Zephyr Creamery 1,5552120979,POS Validated,meridian,Marcus Singh,Owner,,marcus.singh@zephyrcreamery1.example
C001595,2026-06-26,human,Zara,Driftwood Bakery,555.425.4748,Data capture incomplete,,,,,
C000576,2026-07-11,ai,dialler-03,Olive & Ash Room,+1 555 173 3531,POS Validated,IRONCLAD,,,,
C001857,2026-07-06,ai,dialler-02,Zephyr Kiosk,555.125.0894,Not reached,,,,,
C001726,2026-06-18,human,Sana,Thistle Taqueria,+1 555 909 4188,POS Validated,Ironclad POS,,,,
C001479,2026-06-20,ai,dialler-02,Larkspur Counter Verano Bay,5553196028,POS Validated,IRONCLAD,,,,
C000202,2026-07-21,ai,dialler-03,THISTLE SUPPER CLUB,+15558464523,Callback,,,,,
C000893,2026-07-22,ai,dialler-03,Amber Kitchen,555.770.7201,Data capture incomplete,,Nicole Chen,,,
C000703,2026-06-26,ai,dialler-01,Tidewater Wine Bar,+1 555 611 9281,Callback,,,,,
C001561,2026-06-29,ai,dialler-03,Marrow Table,5557738524,No Answer,,,,,
C000664,2026-06-20,ai,dialler-03,Oxbow Taqueria,+15554191309,Not reached,,,,,
C000490,2026-07-28,ai,dialler-01,Driftwood To Go,+15557831646,POS Validated,ironclad,Daniel Silva,Operations Manager,,
C000273,2026-06-20,human,Hiba,Cardinal Juice Bar,+1 555 874 8386,No Answer,,,,,
C001258,2026-07-06,ai,dialler-02,OLIVE & ASH CHOPHOUSE,5552478021,Not reached,,,,,
C000003,2026-06-14,human,Fatima,Marigold Osteria,+1 555 429 2603,Data capture incomplete,,,,,
C000197,2026-06-10,ai,dialler-01,Amber Trattoria,555.396.3860,Gatekeeper,,,,,
C000585,2026-07-29,ai,dialler-02,Foxglove Tavern,+15556019822,Callback,,,,,
C001666,2026-06-16,human,Layla,Loam Dining Room,(555) 749-1465,POS Validated,BlueCrest,,,,
C000648,2026-06-13,human,Sana,Plumb Room,5558886139,Gatekeeper,,,,,
C000318,2026-07-19,ai,dialler-02,THISTLE TRATTORIA,555.931.1253,Callback,,,,,
C001022,2026-07-02,ai,dialler-03,Motherland Bistro,(555) 147-3588,No Answer,,,,,
C000862,2026-07-10,ai,dialler-03,Gallow Kitchen,555.220.4942,Callback,,,,,
C000921,2026-07-08,human,Fatima,Understory Grill,+15557544296,POS Validated,VELLUM,Susan Lopez,Owner,Weekends only,
C000719,2026-07-10,ai,dialler-01,Tin Roof Smoothie,555.255.5913,POS Validated,FERNPOST,,,,
C001732,2026-06-15,human,Sana,Bellwether Chophouse,555.728.3254,Data capture incomplete,,,,,
C001464,2026-06-23,ai,dialler-03,Loam Steakhouse - Bayview Flats,+1 555 782 7621,Callback,,,,,
C000017,2026-06-28,ai,dialler-02,Wildwood Osteria,555.147.9463,POS Validated,bluecrest pos,Emily Vasquez,Operations Manager,,
C000699,2026-06-27,ai,dialler-01,Golden Hour Smokehouse,+1 555 285 7292,Gatekeeper,,,,,
C000889,2026-06-25,ai,dialler-03,Amber Kitchen,5557707201,No Answer,,,,,
C001335,2026-06-09,human,Hiba,Cobalt Supper Club,+15552993532,POS Validated,Rivet,Grace Chen,General Manager,Mon-Fri 10am-12pm,
C000854,2026-07-07,human,Fatima,Driftwood Creamery,5559585462,Data capture incomplete,,,,,
