deal_id,deal_name,deal_stage,deal_owner,amount,create_date,last_activity_date,associated_contact,company_phone,deal_description,pos_from_crm,source,city
D100338,Palisade Cantina,KDM Demo,Marco Ferrari,,2026-04-06,2026-05-22,,555-366-2915,1 location,,human_call,Verano Bay
D100301,Sparrow Chophouse,Eligible,Marco Ferrari,,2026-07-13,2026-07-24,,(555) 287-6202,"8 locations, called twice, gatekeeper",Cadence Mini,human_call,Verano Bay
D100490,Blue Heron Smokehouse,Eligible,Tom Brennan,,2026-05-07,2026-05-07,,(555) 607-2815,"called twice, gatekeeper",,ai_call,Verano Bay
D100012,The Heron Chophouse,Eligible,Tom Brennan,,2026-04-22,2026-04-28,,555-383-7725,,,walk-in,Verano Bay
D100106,Tin Roof Table,Eligible,Daniel Reyes,,2026-02-12,2026-02-15,,555-270-0214,"ironcladpos, 11 locations",IRONCLAD,referral,Verano Bay
D100057,Orchard Kitchen,Eligible,Daniel Reyes,,2026-05-20,2026-05-31,,(555) 841-4766,"vellum pos, 1 location",,scrape,Verano Bay
D100182,Northbank Kitchen,KDM Demo,Tom Brennan,,2026-02-18,2026-04-27,Daniel Garcia,(555) 201-3698,,Cadence POS,scrape,Verano Bay
D100483,Saffron Supper Club,Eligible,Tom Brennan,,2026-06-17,2026-06-17,,+1 555 814 0796,"Peter Garcia (Owner), 1 location",,referral,Verano Bay
D100244,Bellwether Alehouse,Gatekeeper Demo,Daniel Reyes,,2026-07-11,2026-07-28,,5556582826,"Linda Andino (Owner), 1 location",,ai_call,Verano Bay
D100112,Magpie Smokehouse,Eligible,Daniel Reyes,,2026-05-30,2026-06-01,,+1 555 450 3343,"vellum restaurant, 13 locations",,walk-in,Verano Bay
D100278,Blue Heron Supper Club,Eligible,Tom Brennan,,2026-01-28,2026-02-04,Victor Rodriguez,5553493646,"northstar, Christina Johnson (GM)",,human_call,Verano Bay
D100111,Orchard Oyster Bar,Closed Won,Daniel Reyes,,2026-04-05,2026-04-14,Sofia Bianchi,+15556278100,"Deborah Haddad (Managing Partner), 1 location",,ai_call,Verano Bay
D100092,Nine Bridges Table,Eligible,Marco Ferrari,,2026-04-23,2026-05-02,Sofia Brown,+15557048580,"cadence, 1 location",,human_call,Verano Bay
D100449,Fallowfield Brasserie,KDM Demo,Priya Shah,,2026-02-05,2026-04-06,,5558037066,"cadence station, 1 location",Cadence Station,scrape,Verano Bay
D100303,Vesper Room - Bayview Flats,Eligible,Marco Ferrari,,2026-06-13,2026-06-20,Elena Singh,+1 555 258 5146,"ironclad pos, Susan Andino (Managing Partner), 1 location, wants pricing",IRONCLAD,walk-in,Verano Bay
D100508,Violet Table - Kingsway,Eligible,Priya Shah,,2026-08-03,2026-08-03,,5553638422,"northstar pos, 1 location",,human_call,Verano Bay
D100079,Quarry Smokehouse,Eligible,Priya Shah,,2026-04-14,2026-04-22,,5552643164,wants pricing,,ai_call,Verano Bay
D100491,CINDER ROOM,Walked-in,Marco Ferrari,,2026-06-29,2026-06-29,,+15556490270,10 locations,meridian cloud,referral,Verano Bay
D100435,Sparrow Bistro - Quarry End,Eligible,Tom Brennan,,2026-04-19,2026-04-27,,+15553484387,vellum pos,,referral,Verano Bay
D100504,The BRAMBLE WINE BAR,Not Qualified,Tom Brennan,,2026-08-01,2026-08-01,,555-699-7998,,,ai_call,Verano Bay
D100034,Stonecutter Brasserie,Eligible,Daniel Reyes,,2026-03-19,2026-03-27,,+15558295726,12 locations,,scrape,Verano Bay
D100417,Motherland Brasserie,Eligible,Marco Ferrari,,2026-05-03,2026-05-13,,(555) 848-8361,"ironcladpos, Beatriz Hernandez (Managing Partner), wants pricing",,human_call,Verano Bay
D100477,Quill Supper Club - Miradero Verano Bay,Not Qualified,Daniel Reyes,,2026-07-17,2026-07-17,,(555) 216-5580,"orbit, 1 location",,ai_call,Verano Bay
D100308,Nightjar Room,Verbal Yes,Tom Brennan,,2026-06-09,2026-06-19,,(555) 381-2522,"Ahmed Rossi (Operations Manager), 1 location",,referral,Verano Bay
D100479,Copper Kitchen - Corvo Heights,Eligible,Daniel Reyes,,2026-04-22,2026-04-22,,(555) 848-4215,Priya Kowalski (General Manager),,walk-in,Verano Bay
D100014,Saffron Tavern,Eligible,Priya Shah,,2026-05-15,2026-05-16,,555-166-9436,"Kevin Le (Owner), 1 location",,referral,Verano Bay
D100140,Tallgrass Brasserie,Eligible,Daniel Reyes,,2026-05-31,2026-06-05,,+1 555 957 7509,Sofia Murphy (Owner),,referral,Verano Bay
D100113,Kettle Table,Eligible,Marco Ferrari,,2026-03-02,2026-03-09,,+1 555 399 3643,"Raj Torres (Operations Manager), 8 locations",,walk-in,Verano Bay
D100249,MAGPIE GRILL,Eligible,Daniel Reyes,,2026-05-03,2026-05-11,,(555) 827-6295,ironclad pos,,ai_call,Verano Bay
D100096,Ember Cantina,Walked-in,Marco Ferrari,,2026-06-06,2026-07-10,,+1 555 936 0005,"ironclad pos, James Martinez (GM)",Ironclad POS,human_call,Verano Bay
D100100,Lantern Smokehouse Restaurant,Eligible,Marco Ferrari,,2026-02-21,2026-02-25,,5555453647,Michael Murphy (GM),,human_call,Verano Bay
D100314,Ironwood Alehouse - Bramble Row,Eligible,Marco Ferrari,,2026-03-30,2026-04-03,Marcus Garcia,555-533-9203,"Frank Torres (Owner), 1 location",,ai_call,Verano Bay
D100156,Ember Tavern,Gatekeeper Demo,Marco Ferrari,,2026-01-31,2026-02-23,Frank Novak,5553360578,"vellum, Raj Patel (Owner), 1 location, not interested in QR",,human_call,Verano Bay
D100266,Persimmon Bistro,Eligible,Tom Brennan,,2026-03-20,2026-04-01,,555-657-2844,meridian server,,scrape,Verano Bay
